Rank,Country,Overall score,Affordability,Availability,Quality and Safety,Sustainability and Adaptation
1,Finland,83.7,91.9,70.5,88.4,82.6
2,Ireland,81.7,92.6,70.5,86.1,75.1
3,Norway,80.5,87.2,60.4,86.8,87.4
4,France,80.2,91.3,69.0,87.7,70.3
5,Netherlands,80.1,92.7,70.7,84.7,69.2
6,Japan,79.5,89.8,81.2,77.4,66.1
7,Sweden,79.1,91.9,68.3,85.0,68.3
7,Canada,79.1,88.3,75.7,89.5,60.1
9,United Kingdom,78.8,91.5,71.6,77.6,71.1
10,Portugal,78.7,90.0,77.0,79.8,64.5
11,Switzerland,78.2,89.2,76.8,73.5,69.5
12,Austria,78.1,91.3,67.1,81.2,69.7
13,United States,78.0,87.1,65.1,88.8,69.4
14,Denmark,77.8,92.1,63.2,89.1,63.8
14,New Zealand,77.8,91.6,67.7,73.1,75.1
16,Czech Republic,77.7,91.3,69.4,76.3,70.3
17,Belgium,77.5,92.6,64.6,88.4,61.0
18,Costa Rica,77.4,83.0,73.0,79.2,73.3
19,Germany,77.0,87.9,67.0,79.9,70.8
20,Spain,75.7,89.0,63.1,81.2,66.4
21,Poland,75.5,87.4,63.8,81.5,66.7
22,Australia,75.4,93.3,61.1,84.0,58.8
23,United Arab Emirates,75.2,86.7,73.8,81.3,55.2
24,Israel,74.8,88.6,67.2,87.4,52.2
25,Chile,74.2,82.4,68.8,77.0,66.6
25,China,74.2,86.4,79.2,72.0,54.5
27,Italy,74.0,89.5,68.7,75.9,57.3
28,Singapore,73.1,93.2,77.8,69.7,44.3
29,Bulgaria,73.0,85.8,66.5,79.5,56.6
30,Qatar,72.4,88.6,72.9,71.7,51.0
31,Greece,72.2,88.5,58.3,80.8,57.3
32,Kazakhstan,72.1,78.0,67.2,76.3,65.4
33,Uruguay,71.8,80.0,65.6,73.8,65.8
34,Hungary,71.4,86.7,63.3,74.4,57.0
35,Oman,71.2,88.6,64.3,73.2,53.6
36,Slovakia,71.1,89.1,55.3,77.9,57.6
37,Peru,70.8,79.7,58.6,75.2,68.1
38,Bahrain,70.3,91.3,60.1,76.3,47.3
39,South Korea,70.2,76.8,71.5,71.5,58.5
40,Panama,70.0,84.4,63.3,69.7,58.3
41,Saudi Arabia,69.9,83.2,67.2,71.6,53.7
41,Malaysia,69.9,87.0,59.5,74.7,53.7
43,Russia,69.1,77.8,61.4,78.7,56.6
43,Mexico,69.1,76.0,60.0,78.9,60.2
45,Romania,68.8,85.1,60.6,77.9,47.1
46,Vietnam,67.9,84.0,60.7,70.2,52.2
47,Jordan,66.2,85.3,59.8,55.4,58.9
48,Ecuador,65.6,70.8,59.3,69.4,62.0
49,Turkey,65.3,58.4,65.3,78.5,61.2
50,Kuwait,65.2,80.0,62.9,67.8,45.5
51,Brazil,65.1,63.0,58.6,83.9,56.3
52,Dominican Republic,65.0,73.4,65.0,65.3,53.5
52,Bolivia,65.0,71.6,61.6,71.7,53.2
54,Argentina,64.8,62.0,63.4,85.5,49.4
55,Belarus,64.5,67.8,61.9,69.0,58.5
56,El Salvador,64.2,72.5,71.2,71.5,38.1
57,Morocco,63.0,74.6,42.9,73.1,60.0
58,Guatemala,62.8,65.2,56.7,61.3,67.9
59,South Africa,61.7,63.4,60.1,66.1,56.9
60,Honduras,61.5,59.8,61.9,64.9,60.0
61,Serbia,61.4,81.5,49.3,72.6,37.0
62,Tunisia,60.3,74.5,54.1,58.8,49.7
63,Indonesia,60.2,81.4,50.9,56.2,46.3
64,Thailand,60.1,83.7,52.9,45.3,51.6
64,Colombia,60.1,64.6,54.6,63.3,56.9
66,Azerbaijan,59.8,78.1,56.2,54.5,44.6
67,Philippines,59.3,71.5,55.2,65.3,41.8
68,Algeria,58.9,66.8,57.3,54.7,54.2
68,India,58.9,59.3,62.3,62.1,51.2
70,Paraguay,58.6,74.3,47.0,76.3,32.8
71,Ukraine,57.9,66.6,48.1,71.3,43.5
72,Myanmar,57.6,62.1,53.5,64.4,49.0
73,Uzbekistan,57.5,52.7,56.4,64.6,57.9
74,Nepal,56.9,52.7,70.9,57.8,46.2
75,Tajikistan,56.7,59.8,56.3,56.5,53.1
76,Nicaragua,56.6,64.4,50.2,57.5,52.7
77,Egypt,56.0,65.2,54.2,45.9,55.8
78,Cambodia,55.7,74.3,54.5,54.0,33.9
79,Sri Lanka,55.2,61.0,57.2,55.0,45.3
80,Bangladesh,54.0,52.1,61.5,58.4,43.9
81,Laos,53.1,59.7,51.8,51.7,47.0
82,Kenya,53.0,41.7,52.5,68.8,52.6
83,Ghana,52.6,59.9,52.4,50.5,45.1
84,Pakistan,52.2,59.9,58.3,49.4,37.7
85,Mali,51.9,53.4,48.7,56.8,48.8
86,Senegal,51.2,57.9,47.8,53.9,43.5
87,Botswana,51.1,69.0,40.5,57.3,32.9
88,Rwanda,50.6,48.4,51.8,50.3,52.7
89,Burkina Faso,49.6,49.5,49.8,52.8,46.4
90,Tanzania,49.1,45.8,58.7,50.2,41.7
91,Benin,48.1,50.5,53.6,48.1,38.9
91,Malawi,48.1,33.6,52.9,52.0,58.2
93,Uganda,47.7,48.3,41.0,45.1,57.0
94,Mozambique,47.3,42.6,49.4,41.8,56.5
95,Côte d'Ivoire,46.5,54.2,42.1,44.1,43.2
96,Cameroon,46.4,50.4,31.9,56.5,47.0
97,Niger,46.3,42.8,41.7,47.0,55.5
98,Togo,46.2,45.7,51.0,42.3,45.4
99,Guinea,45.1,37.0,49.0,39.8,56.9
100,Ethiopia,44.5,32.9,44.7,59.3,44.9
101,Angola,43.7,35.5,43.5,43.9,54.6
102,Zambia,43.5,26.8,46.7,54.2,51.6
103,Chad,43.2,50.1,40.0,44.7,35.9
104,Democratic Republic of Congo,43.0,46.9,40.6,43.5,40.1
105,Sudan,42.8,35.2,48.2,53.9,35.7
106,Venezuela,42.6,41.8,36.7,51.5,41.4
107,Nigeria,42.0,25.0,39.5,55.6,53.7
108,Burundi,40.6,32.5,41.4,52.4,38.6
108,Madagascar,40.6,39.5,43.0,34.9,44.9
110,Sierra Leone,40.5,36.6,35.5,41.8,49.8
111,Yemen,40.1,46.4,26.9,48.7,37.8
112,Haiti,38.5,32.8,49.6,37.9,34.2
113,Syria,36.3,32.0,26.6,50.8,38.4
